Comment,Designator,Footprint,LCSC
10kB,R7,ALPS_POT_VERTICAL_PS,
PJ301_THONKICONN6,J14,WQP_PJ_301M6,
100k,R22,R0603,
1u,C36,C0603,
100k,R71,R0603,
120k,R21,R0603,
10kB,R8,ALPS_POT_VERTICAL_PS,
180k,R37,R0603,
100n,C44,C0603,
10kB,R80,ALPS_POT_VERTICAL,
120k,R55,R0603,
SW_MEC_5G_2LED,SW1,C&K_D6R,
10kB,R82,ALPS_POT_VERTICAL,
3.3n,C26,C0603,
6.8k,R58,R0603,
18p,C49,C0603,
10kB,R83,ALPS_POT_VERTICAL,
100k,R36,R0603,
200k,R31,R0603,
120k,R15,R0603,
100n,C2,C0603,
6.8k,R74,R0603,
10kB,R84,ALPS_POT_VERTICAL,
20k,R18,R0603,
PJ301_THONKICONN6,J17,WQP_PJ_301M6,
100n,C47,C0603,
10u,C53,PANASONIC_B,
20k,R35,R0603,
4051PW,IC11,TSSOP16,
47k,R59,R0603,
FIDUCIAL1X2,F3,FIDUCIAL-1X2,
22u,C3,PANASONIC_C,
SSL-LX5093PC,LED4,LED_0603_1608Metric,
100n,C16,C0603,
100n,C23,C0603,
MCP6004,IC13,SO14,
100k,R19,R0603,
1u,C48,C0603,
10k,R45,R0603,
1.0k,R89,R0603,
3.3n,C14,C0603,
2.2u,C31,C0805,
10kB,R85,ALPS_POT_VERTICAL,
MCP6002,IC9,SO08,
36k,R75,R0603,
10kB,R26,ALPS_POT_VERTICAL_PS,
LM1117-3.3,IC4,SOT223,
10kB,R24,ALPS_POT_VERTICAL_PS,
20k,R48,R0603,
33k,R34,R0603,
3.3n,C19,C0603,
PJ301_THONKICONN6,J7,WQP_PJ_301M6,
100n,C22,C0603,
10kB,R23,ALPS_POT_VERTICAL_PS,
100k,R39,R0603,
4051PW,IC8,TSSOP16,
1.0k,R1,R0603,
8MHz,Q1,HC49UP,
100n,C46,C0603,
2.2k,R47,R0603,
1N5819HW,D1,SOD123,
10kB,R62,ALPS_POT_VERTICAL_PS,
120k,R14,R0603,
22u,C10,PANASONIC_C,
10u,C40,PANASONIC_B,
10kB,R4,ALPS_POT_VERTICAL_PS,
100n,C6,C0603,
WE-CBF_0603,L2,0603,
100n,C18,C0603,
LM4040B10,IC1,DBZ_R-PDSO-G3,
M06SIP,JP2,1X06,
M05X2PTH,JP3,AVR_ICSP,
M05X2MINIJTAG,JP1,2X5-1.27,
Conn_02x05_Odd_Even,J19,PinHeader_2x05_P2.54mm_Vertical_SMD,
